i,archivo,busqueda,categoria_web,ciudad,clase,cp,direccion,latitud,longitud,nombre,subclase
17,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44619_cuidados personales.csv,PALENCIA,dentistas: odontologos y estomatologos, ,44619,,,0,0,clinica odontologica aragon - gracia,cuidadospersonales
23,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44512_frutossecos.csv,PALENCIA,vending, ,44512,,,0,0,mar sl,frutossecos
26,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,curieses,suelosceramicos
27,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion alejandro rodriguez,suelosceramicos
28,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion jesus,suelosceramicos
30,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion viuda de melquiades,suelosceramicos
56,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,abogados, ,7213,,,0,0,despacho de abogados julia mª munoz - guillermo sanchez,pensiones
67,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,bancos y cajas de ahorros,palencia,7213,,,0,0,ibercaja,pensiones
71,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,seguros: entidades,palencia,7213,,,0,0,la alianza espanola de seguros,pensiones
72,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,abogados,palencia,7213,,,0,0,legalitas,pensiones
73,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,abogados, ,7213,,,0,0,luis romero abogados,pensiones
76,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,seguros: entidades, ,7213,,,0,0,mapfre,pensiones
82,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,seguros: entidades, ,7213,,,0,0,seguros mapfre,pensiones
91,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,centros comerciales y grandes almacenes, ,44522,,,0,0,hipercor,
99,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescados: mayoristas,palencia,44522,34001,"pl. abastos, s",0,0,pescaderia paqui,
101,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescaderias,palencia,44522,34001,"pl. abastos, s",0,0,pescados gonzalo,
102,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescaderias,palencia,44522,34001,"pl. abastos, 4",0,0,pescados lola,
105,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescaderias,palencia,44522,34001,"pl. abastos, s",0,0,triana,
127,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_lapidas.csv,PALENCIA,funerarias: servicios, ,45399,,,0,0,funeraria virgen del milagro,lapidas
164,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44812.csv,PALENCIA,boutiques de senora,palencia,44812,34001,"mayor principal, s",0,0,noelia y magali s.l.,
177,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,almacenes frigorificos, ,44313,,,0,0,codisa,camaras
178,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,centros comerciales y grandes almacenes, ,44313,,,0,0,el corte ingles,camaras
181,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,centros comerciales y grandes almacenes, ,44313,,,0,0,hipercor,camaras
184,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,seguridad y vigilancia: empresas, ,44313,,,0,0,seguridad integral secoex s.a.,camaras
199,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_herramientas.csv,PALENCIA,hidraulica y neumatica: maquinas y equipos,palencia,44411,,,0,0,beco,herramientas
209,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_herramientas.csv,PALENCIA,maquinas-herramienta, ,44411,,,0,0,suministros industriales vallcal s.l.,herramientas
229,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,aceitunas y variantes: establecimientos,palencia,44511,34001,"pl. abastos, 28",0,0,aceitunas josango c.b.,tiendasdecomestibles
262,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,centros comerciales y grandes almacenes, ,44511,,,0,0,el corte ingles,tiendasdecomestibles
266,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,fruterias,palencia,44511,34001,"pl. abastos, 21",0,0,esther sanchez rojo,tiendasdecomestibles
273,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,centros comerciales y grandes almacenes, ,44511,,,0,0,hipercor,tiendasdecomestibles
323,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45211.csv,PALENCIA,centros comerciales y grandes almacenes, ,45211,,,0,0,el corte ingles,
325,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45211.csv,PALENCIA,centros comerciales y grandes almacenes, ,45211,,,0,0,hipercor,
348,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,ebanisterias, ,44211,,,0,0,maivan ebanistas s.l.,
350,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,"construccion, materiales: almacenes", ,44211,,,0,0,materiales de construccion alejandro rodriguez,
367,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,muebles: establecimientos, ,44211,,,0,0,palacio de la moda,
369,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,muebles: establecimientos, ,44211,,,0,0,polque,
371,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,muebles: establecimientos,palencia,44211,34004,"ctra. madrid, km 3",0,0,rastro remar,
378,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7223.csv,PALENCIA,comidas preparadas y por encargo, ,7223,,,0,0,alcesa,
388,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_ferreteria.csv,PALENCIA,"construccion, materiales: almacenes", ,44411,,,0,0,curieses,ferreteria
397,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_ferreteria.csv,PALENCIA,"construccion, materiales: almacenes", ,44411,,,0,0,materiales de construccion viuda de melquiades,ferreteria
400,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suministrosdefontaneria.csv,PALENCIA,ventilacion y climatizacion industrial, ,44419,,,0,0,novatub s.l.,suministrosdefontaneria
412,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44311_tiendaselectrodomesticos.csv,PALENCIA,"construccion, materiales: almacenes", ,44311,,,0,0,materiales de construccion alejandro rodriguez,tiendaselectrodomesticos
430,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44111.csv,PALENCIA,automoviles: concesionarios,palencia,44111,34004,"los yeseros (pol. ind. san antolin), 10",0,0,fermi consulting s.l.,
434,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44111.csv,PALENCIA,automoviles: concesionarios,palencia,44111,34004,"cno. yeseros, 5",0,0,mirauto,
440,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44111.csv,PALENCIA,talleres mecanicos para automoviles, ,44111,,,0,0,talleres raul,
444,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44429_estufascocinadeleña.csv,PALENCIA,chimeneas: establecimientos,palencia,44429,,,0,0,casacampo,estufascocinadelena
446,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44429_estufascocinadeleña.csv,PALENCIA,"construccion, materiales: almacenes", ,44429,,,0,0,materiales de construccion alejandro rodriguez,estufascocinadelena
471,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,gasoleo, ,44132,,,0,0,hidifer s.l.,
475,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,neumaticos: venta y reparacion, ,44132,,,0,0,neumaticos y talleres javi,
478,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,camiones: concesionarios y agencias, ,44132,,,0,0,pargroup,
479,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,recauchutados,palencia,44132,34004,"los plateros (pol. ind. san antolin), 5",0,0,recacor recauchutados cordoba,
481,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,talleres mecanicos para automoviles, ,44132,,,0,0,talleres carmelo e hijos s.l.,
486,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,talleres mecanicos para automoviles, ,44132,,,0,0,talleres hermanos sanchez acero s.l.,
490,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,talleres mecanicos para automoviles, ,44132,,,0,0,talleres raul,
491,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,neumaticos: fabricantes y mayoristas, ,44132,,,0,0,vianeumaticos.com,
523,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7224.csv,PALENCIA,cafes-bares,palencia,7224,34004,"p.º la julia, s",0,0,cibaria,
569,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7224.csv,PALENCIA,cafeterias,palencia,7224,34003,"est. renfe, s",0,0,medas,
597,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_pancartas.csv,PALENCIA,banderas y mastiles, ,45399,,,0,0,banderas aap,pancartas
617,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,antiguedades, ,45399,,,0,0,art&antiguitats riera,objetosreligiosos
620,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,articulos religiosos,la soledad,45399,41500,"24 (pol. ind. la red), s",0,0,artesacro san fernando,objetosreligiosos
642,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,articulos religiosos, ,45399,,,0,0,casa rodriguez,objetosreligiosos
671,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,forja artistica,ambrosero,45399,39791,"carretera ambrosero gama, 1, , km 182",0,0,forjas artisticas,objetosreligiosos
672,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,forja artistica, ,45399,,,0,0,forjas artisticas,objetosreligiosos
673,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,restauracion de obras de arte y antiguedades, ,45399,,,0,0,foryvict restauraciones de arte,objetosreligiosos
715,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,ciencias ocultas, ,45399,,,0,0,merlin tu tienda magica,objetosreligiosos
723,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,antiguedades,najera,45399,26300,"calle los alamos, 5, 5-6",0,0,pedro balanza restauracion,objetosreligiosos
749,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,restauracion de obras de arte y antiguedades, ,45399,,,0,0,viridian restauraciones,objetosreligiosos
759,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,construccion: maquinas y equipos, ,45331,,,0,0,cydima,
762,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,automoviles y furgonetas: alquiler, ,45331,,,0,0,furgonetas demetrio,
763,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,gasoleo, ,45331,,,0,0,hidifer s.l.,
764,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,carretillas elevadoras: venta y alquiler, ,45331,,,0,0,hispaman,
768,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,vending, ,45331,,,0,0,mar sl,
769,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,"construccion, materiales: almacenes", ,45331,,,0,0,materiales de construccion jesus,
771,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,estanterias: fabricantes y mayoristas, ,45331,,,0,0,moviestan,
